Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,2.3400000000000005e6,4.922711064e6,0.0,0.0,0.0,0.0
1,2.3404660000000005e6,4.924213744209495e6,0.0,0.0,0.0,0.0
2,2.3409320000000005e6,4.9257164244189905e6,0.0,0.0,0.0,0.0
3,2.3413890000000005e6,4.927219104628486e6,0.0,0.0,0.0,0.0
4,2.3418460000000005e6,4.928721784837981e6,0.0,0.0,0.0,0.0
5,2.3427440000000005e6,4.930224465047476e6,0.0,0.0,0.0,0.0
6,2.3436420000000005e6,4.931727145256971e6,0.0,0.0,0.0,0.0
7,2.3458680000000005e6,4.933229825466466e6,0.0,0.0,0.0,0.0
8,2.3480940000000005e6,4.934732505675961e6,0.0,0.0,0.0,0.0
9,2.3506055000000005e6,4.936235185885456e6,0.0,0.0,0.0,0.0
10,2.3531170000000005e6,4.9377378660949515e6,0.0,0.0,0.0,0.0
11,2.3550275000000005e6,4.939240546304447e6,0.0,0.0,0.0,0.0
12,2.3569380000000005e6,4.940743226513942e6,0.0,0.0,0.0,0.0
13,2.3586790000000005e6,4.942245906723437e6,0.0,0.0,0.0,0.0
14,2.3604200000000005e6,4.943748586932932e6,0.0,0.0,0.0,0.0
15,2.3618605000000005e6,4.945251267142427e6,0.0,0.0,0.0,0.0
16,2.3633010000000005e6,4.946753947351922e6,0.0,0.0,0.0,0.0
17,2.3649020000000005e6,4.948256627561417e6,0.0,0.0,0.0,0.0
18,2.3665030000000005e6,4.949759307770913e6,0.0,0.0,0.0,0.0
19,2.3679390000000005e6,4.951261987980408e6,0.0,0.0,0.0,0.0
20,2.3693750000000005e6,4.952764668189903e6,0.0,0.0,0.0,0.0
21,2.3713435000000005e6,4.954267348399398e6,0.0,0.0,0.0,0.0
22,2.3733120000000005e6,4.955770028608893e6,0.0,0.0,0.0,0.0
23,2.3741975000000005e6,4.957272708818388e6,0.0,0.0,0.0,0.0
24,2.3750830000000005e6,4.958775389027883e6,0.0,0.0,0.0,0.0
25,2.3756770000000005e6,4.960278069237378e6,0.0,0.0,0.0,0.0
26,2.3762710000000005e6,4.961780749446874e6,0.0,0.0,0.0,0.0
27,2.3771050000000005e6,4.963283429656369e6,0.0,0.0,0.0,0.0
28,2.3779390000000005e6,4.964786109865864e6,0.0,0.0,0.0,0.0
29,2.3792690000000005e6,4.966288790075359e6,0.0,0.0,0.0,0.0
30,2.3805990000000005e6,4.967791470284854e6,0.0,0.0,0.0,0.0
31,2.3831605000000005e6,4.969294150494349e6,0.0,0.0,0.0,0.0
32,2.3857220000000005e6,4.970796830703844e6,0.0,0.0,0.0,0.0
33,2.3887910000000005e6,4.972299510913339e6,0.0,0.0,0.0,0.0
34,2.3918600000000005e6,4.973802191122835e6,0.0,0.0,0.0,0.0
35,2.3944715000000005e6,4.97530487133233e6,0.0,0.0,0.0,0.0
36,2.3970830000000005e6,4.976807551541825e6,0.0,0.0,0.0,0.0
37,2.3993565000000005e6,4.97831023175132e6,0.0,0.0,0.0,0.0
38,2.4016300000000005e6,4.979812911960815e6,0.0,0.0,0.0,0.0
39,2.4043760000000005e6,4.98131559217031e6,0.0,0.0,0.0,0.0
40,2.4071220000000005e6,4.982818272379805e6,0.0,0.0,0.0,0.0
41,2.4093810000000005e6,4.9843209525893e6,0.0,0.0,0.0,0.0
42,2.4116400000000005e6,4.985823632798796e6,0.0,0.0,0.0,0.0
43,2.4130130000000005e6,4.987326313008291e6,0.0,0.0,0.0,0.0
44,2.4143860000000005e6,4.988828993217786e6,0.0,0.0,0.0,0.0
45,2.4161865000000005e6,4.990331673427281e6,0.0,0.0,0.0,0.0
46,2.4179870000000005e6,4.991834353636776e6,0.0,0.0,0.0,0.0
47,2.4197500000000005e6,4.993337033846271e6,0.0,0.0,0.0,0.0
48,2.4215130000000005e6,4.994839714055766e6,0.0,0.0,0.0,0.0
49,2.4220510000000005e6,4.9963423942652615e6,0.0,0.0,0.0,0.0
50,2.4225890000000005e6,4.997845074474757e6,0.0,0.0,0.0,0.0
